Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung
18,66,7,CDU/CSU,Albani,Stephan,,0,1,0,0,0,Stephan Albani
18,66,7,CDU/CSU,Albsteiger,Katrin,,0,1,0,0,0,Katrin Albsteiger
18,66,7,CDU/CSU,Altmaier,Peter,,0,0,0,0,1,Peter Altmaier
18,66,7,CDU/CSU,Auernhammer,Artur,,0,1,0,0,0,Artur Auernhammer
18,66,7,CDU/CSU,Bär,Dorothee,,0,1,0,0,0,Dorothee Bär
18,66,7,CDU/CSU,Bareiß,Thomas,,0,1,0,0,0,Thomas Bareiß
18,66,7,CDU/CSU,Barthle,Norbert,,0,1,0,0,0,Norbert Barthle
18,66,7,CDU/CSU,Bartz,Julia,,0,1,0,0,0,Julia Bartz
18,66,7,CDU/CSU,Baumann,Günter,,0,1,0,0,0,Günter Baumann
18,66,7,CDU/CSU,Beermann,Maik,,0,1,0,0,0,Maik Beermann
18,66,7,CDU/CSU,Behrens (Börde),Manfred,,0,1,0,0,0,Manfred Behrens (Börde)
18,66,7,CDU/CSU,Bellmann,Veronika,,0,1,0,0,0,Veronika Bellmann
18,66,7,CDU/CSU,Benning,Sybille,,0,1,0,0,0,Sybille Benning
18,66,7,CDU/CSU,Berghegger,Andre,,0,1,0,0,0,Dr. Andre Berghegger
18,66,7,CDU/CSU,Bergner,Christoph,,0,1,0,0,0,Dr. Christoph Bergner
18,66,7,CDU/CSU,Bertram,Ute,,0,1,0,0,0,Ute Bertram
18,66,7,CDU/CSU,Beyer,Peter,,0,1,0,0,0,Peter Beyer
18,66,7,CDU/CSU,Bilger,Steffen,,0,1,0,0,0,Steffen Bilger
18,66,7,CDU/CSU,Binninger,Clemens,,0,1,0,0,0,Clemens Binninger
18,66,7,CDU/CSU,Bleser,Peter,,0,1,0,0,0,Peter Bleser
18,66,7,CDU/CSU,Böhmer,Maria,,0,0,0,0,1,Dr. Maria Böhmer
18,66,7,CDU/CSU,Bosbach,Wolfgang,,0,1,0,0,0,Wolfgang Bosbach
18,66,7,CDU/CSU,Brackmann,Norbert,,0,1,0,0,0,Norbert Brackmann
18,66,7,CDU/CSU,Brähmig,Klaus,,0,1,0,0,0,Klaus Brähmig
18,66,7,CDU/CSU,Brand,Michael,,0,1,0,0,0,Michael Brand
18,66,7,CDU/CSU,Brandl,Reinhard,,0,1,0,0,0,Dr. Reinhard Brandl
18,66,7,CDU/CSU,Brandt,Helmut,,0,1,0,0,0,Helmut Brandt
18,66,7,CDU/CSU,Brauksiepe,Ralf,,0,1,0,0,0,Dr. Ralf Brauksiepe
18,66,7,CDU/CSU,Braun,Helge,,0,1,0,0,0,Dr. Helge Braun
18,66,7,CDU/CSU,Brehmer,Heike,,0,1,0,0,0,Heike Brehmer
18,66,7,CDU/CSU,Brinkhaus,Ralph,,0,1,0,0,0,Ralph Brinkhaus
18,66,7,CDU/CSU,Caesar,Cajus,,0,1,0,0,0,Cajus Caesar
18,66,7,CDU/CSU,Connemann,Gitta,,0,1,0,0,0,Gitta Connemann
18,66,7,CDU/CSU,Dinges-Dierig,Alexandra,,0,1,0,0,0,Alexandra Dinges-Dierig
18,66,7,CDU/CSU,Dobrindt,Alexander,,0,1,0,0,0,Alexander Dobrindt
18,66,7,CDU/CSU,Donth,Michael,,0,1,0,0,0,Michael Donth
18,66,7,CDU/CSU,Dörflinger,Thomas,,0,1,0,0,0,Thomas Dörflinger
18,66,7,CDU/CSU,Dött,Marie-Luise,,0,1,0,0,0,Marie-Luise Dött
18,66,7,CDU/CSU,Durz,Hansjörg,,0,1,0,0,0,Hansjörg Durz
18,66,7,CDU/CSU,Eckenbach,Jutta,,0,1,0,0,0,Jutta Eckenbach
18,66,7,CDU/CSU,Fabritius,Bernd,,0,1,0,0,0,Dr. Bernd Fabritius
18,66,7,CDU/CSU,Färber,Hermann,,0,1,0,0,0,Hermann Färber
18,66,7,CDU/CSU,Feiler,Uwe,,0,1,0,0,0,Uwe Feiler
18,66,7,CDU/CSU,Feist,Thomas,,0,1,0,0,0,Dr. Thomas Feist
18,66,7,CDU/CSU,Ferlemann,Enak,,0,1,0,0,0,Enak Ferlemann
18,66,7,CDU/CSU,Fischbach,Ingrid,,0,1,0,0,0,Ingrid Fischbach
18,66,7,CDU/CSU,Fischer (Hamburg),Dirk,,0,0,0,0,1,Dirk Fischer (Hamburg)
18,66,7,CDU/CSU,Fischer (Karlsruhe-Land),Axel E.,,0,1,0,0,0,Axel E. Fischer (Karlsruhe-Land)
18,66,7,CDU/CSU,Flachsbarth,Maria,,0,1,0,0,0,Dr. Maria Flachsbarth
18,66,7,CDU/CSU,Flosbach,Klaus-Peter,,0,1,0,0,0,Klaus-Peter Flosbach
18,66,7,CDU/CSU,Frei,Thorsten,,0,1,0,0,0,Thorsten Frei
18,66,7,CDU/CSU,Freudenstein,Astrid,,0,1,0,0,0,Dr. Astrid Freudenstein
18,66,7,CDU/CSU,Friedrich (Hof),Hans-Peter,,0,1,0,0,0,Dr. Hans-Peter Friedrich (Hof)
18,66,7,CDU/CSU,Frieser,Michael,,0,1,0,0,0,Michael Frieser
18,66,7,CDU/CSU,Fuchs,Michael,,0,1,0,0,0,Dr. Michael Fuchs
18,66,7,CDU/CSU,Fuchtel,Hans-Joachim,,0,1,0,0,0,Hans-Joachim Fuchtel
18,66,7,CDU/CSU,Funk,Alexander,,0,1,0,0,0,Alexander Funk
18,66,7,CDU/CSU,Gädechens,Ingo,,0,1,0,0,0,Ingo Gädechens
18,66,7,CDU/CSU,Gauweiler,Peter,,0,1,0,0,0,Dr. Peter Gauweiler
18,66,7,CDU/CSU,Gebhart,Thomas,,0,1,0,0,0,Dr. Thomas Gebhart
18,66,7,CDU/CSU,Gerig,Alois,,0,1,0,0,0,Alois Gerig
18,66,7,CDU/CSU,Gienger,Eberhard,,0,1,0,0,0,Eberhard Gienger
18,66,7,CDU/CSU,Giousouf,Cemile,,0,1,0,0,0,Cemile Giousouf
18,66,7,CDU/CSU,Göppel,Josef,,0,1,0,0,0,Josef Göppel
18,66,7,CDU/CSU,Grindel,Reinhard,,0,1,0,0,0,Reinhard Grindel
18,66,7,CDU/CSU,Groden-Kranich,Ursula,,0,1,0,0,0,Ursula Groden-Kranich
18,66,7,CDU/CSU,Gröhe,Hermann,,0,1,0,0,0,Hermann Gröhe
18,66,7,CDU/CSU,Gröhler,Klaus-Dieter,,0,1,0,0,0,Klaus-Dieter Gröhler
18,66,7,CDU/CSU,Grosse-Brömer,Michael,,0,1,0,0,0,Michael Grosse-Brömer
18,66,7,CDU/CSU,Grotelüschen,Astrid,,0,1,0,0,0,Astrid Grotelüschen
18,66,7,CDU/CSU,Grübel,Markus,,0,1,0,0,0,Markus Grübel
18,66,7,CDU/CSU,Grund,Manfred,,0,1,0,0,0,Manfred Grund
18,66,7,CDU/CSU,Grundmann,Oliver,,0,1,0,0,0,Oliver Grundmann
18,66,7,CDU/CSU,Grütters,Monika,,0,1,0,0,0,Monika Grütters
18,66,7,CDU/CSU,Gundelach,Herlind,,0,1,0,0,0,Dr. Herlind Gundelach
18,66,7,CDU/CSU,Güntzler,Fritz,,0,1,0,0,0,Fritz Güntzler
18,66,7,CDU/CSU,Gutting,Olav,,0,1,0,0,0,Olav Gutting
18,66,7,CDU/CSU,Haase,Christian,,0,1,0,0,0,Christian Haase
18,66,7,CDU/CSU,Hahn,Florian,,0,1,0,0,0,Florian Hahn
18,66,7,CDU/CSU,Harbarth,Stephan,,0,0,0,0,1,Dr. Stephan Harbarth
18,66,7,CDU/CSU,Hardt,Jürgen,,0,1,0,0,0,Jürgen Hardt
18,66,7,CDU/CSU,Hasselfeldt,Gerda,,0,1,0,0,0,Gerda Hasselfeldt
18,66,7,CDU/CSU,Hauer,Matthias,,0,1,0,0,0,Matthias Hauer
18,66,7,CDU/CSU,Hauptmann,Mark,,0,1,0,0,0,Mark Hauptmann
18,66,7,CDU/CSU,Heck,Stefan,,0,1,0,0,0,Dr. Stefan Heck
18,66,7,CDU/CSU,Heider,Matthias,,0,1,0,0,0,Dr. Matthias Heider
18,66,7,CDU/CSU,Heiderich,Helmut,,0,1,0,0,0,Helmut Heiderich
18,66,7,CDU/CSU,Heil,Mechthild,,0,1,0,0,0,Mechthild Heil
18,66,7,CDU/CSU,Heinrich (Chemnitz),Frank,,0,1,0,0,0,Frank Heinrich (Chemnitz)
18,66,7,CDU/CSU,Helfrich,Mark,,0,0,0,0,1,Mark Helfrich
18,66,7,CDU/CSU,Heller,Uda,,0,1,0,0,0,Uda Heller
18,66,7,CDU/CSU,Hellmuth,Jörg,,0,1,0,0,0,Jörg Hellmuth
18,66,7,CDU/CSU,Henke,Rudolf,,0,1,0,0,0,Rudolf Henke
18,66,7,CDU/CSU,Hennrich,Michael,,0,1,0,0,0,Michael Hennrich
18,66,7,CDU/CSU,Heveling,Ansgar,,0,1,0,0,0,Ansgar Heveling
18,66,7,CDU/CSU,Hintze,Peter,,0,1,0,0,0,Peter Hintze
18,66,7,CDU/CSU,Hirte,Christian,,0,1,0,0,0,Christian Hirte
18,66,7,CDU/CSU,Hirte,Heribert,,0,1,0,0,0,Dr. Heribert Hirte
18,66,7,CDU/CSU,Hochbaum,Robert,,0,1,0,0,0,Robert Hochbaum
18,66,7,CDU/CSU,Hoffmann,Alexander,,0,1,0,0,0,Alexander Hoffmann
18,66,7,CDU/CSU,Holmeier,Karl,,0,1,0,0,0,Karl Holmeier
18,66,7,CDU/CSU,Holzenkamp,Franz-Josef,,0,1,0,0,0,Franz-Josef Holzenkamp
18,66,7,CDU/CSU,Hoppenstedt,Hendrik,,0,1,0,0,0,Dr. Hendrik Hoppenstedt
18,66,7,CDU/CSU,Horb,Margaret,,0,1,0,0,0,Margaret Horb
18,66,7,CDU/CSU,Hornhues,Bettina,,0,1,0,0,0,Bettina Hornhues
18,66,7,CDU/CSU,Huber,Charles M.,,0,1,0,0,0,Charles M. Huber
18,66,7,CDU/CSU,Hübinger,Anette,,0,1,0,0,0,Anette Hübinger
18,66,7,CDU/CSU,Hüppe,Hubert,,0,1,0,0,0,Hubert Hüppe
18,66,7,CDU/CSU,Irlstorfer,Erich,,0,1,0,0,0,Erich Irlstorfer
18,66,7,CDU/CSU,Jarzombek,Thomas,,0,1,0,0,0,Thomas Jarzombek
18,66,7,CDU/CSU,Jörrißen,Sylvia,,0,1,0,0,0,Sylvia Jörrißen
18,66,7,CDU/CSU,Jung,Andreas,,0,1,0,0,0,Andreas Jung
18,66,7,CDU/CSU,Jung,Franz Josef,,0,1,0,0,0,Dr. Franz Josef Jung
18,66,7,CDU/CSU,Jung,Xaver,,0,1,0,0,0,Xaver Jung
18,66,7,CDU/CSU,Jüttner,Egon,,0,1,0,0,0,Dr. Egon Jüttner
18,66,7,CDU/CSU,Kalb,Bartholomäus,,0,1,0,0,0,Bartholomäus Kalb
18,66,7,CDU/CSU,Kammer,Hans-Werner,,0,1,0,0,0,Hans-Werner Kammer
18,66,7,CDU/CSU,Kampeter,Steffen,,0,0,0,0,1,Steffen Kampeter
18,66,7,CDU/CSU,Kanitz,Steffen,,0,1,0,0,0,Steffen Kanitz
18,66,7,CDU/CSU,Karl,Alois,,0,1,0,0,0,Alois Karl
18,66,7,CDU/CSU,Karliczek,Anja,,0,1,0,0,0,Anja Karliczek
18,66,7,CDU/CSU,Kaster,Bernhard,,0,1,0,0,0,Bernhard Kaster
18,66,7,CDU/CSU,Kauder,Volker,,0,1,0,0,0,Volker Kauder
18,66,7,CDU/CSU,Kaufmann,Stefan,,0,1,0,0,0,Dr. Stefan Kaufmann
18,66,7,CDU/CSU,Kiesewetter,Roderich,,0,1,0,0,0,Roderich Kiesewetter
18,66,7,CDU/CSU,Kippels,Georg,,0,1,0,0,0,Dr. Georg Kippels
18,66,7,CDU/CSU,Klein,Volkmar,,0,1,0,0,0,Volkmar Klein
18,66,7,CDU/CSU,Klimke,Jürgen,,0,1,0,0,0,Jürgen Klimke
18,66,7,CDU/CSU,Knoerig,Axel,,0,1,0,0,0,Axel Knoerig
18,66,7,CDU/CSU,Koeppen,Jens,,0,1,0,0,0,Jens Koeppen
18,66,7,CDU/CSU,Koob,Markus,,0,1,0,0,0,Markus Koob
18,66,7,CDU/CSU,Körber,Carsten,,0,1,0,0,0,Carsten Körber
18,66,7,CDU/CSU,Koschyk,Hartmut,,0,0,0,0,1,Hartmut Koschyk
18,66,7,CDU/CSU,Kovac,Kordula,,0,1,0,0,0,Kordula Kovac
18,66,7,CDU/CSU,Kretschmer,Michael,,0,1,0,0,0,Michael Kretschmer
18,66,7,CDU/CSU,Krichbaum,Gunther,,0,1,0,0,0,Gunther Krichbaum
18,66,7,CDU/CSU,Krings,Günter,,0,0,0,0,1,Dr. Günter Krings
18,66,7,CDU/CSU,Kruse,Rüdiger,,0,1,0,0,0,Rüdiger Kruse
18,66,7,CDU/CSU,Kudla,Bettina,,0,1,0,0,0,Bettina Kudla
18,66,7,CDU/CSU,Kühne,Roy,,0,1,0,0,0,Dr. Roy Kühne
18,66,7,CDU/CSU,Lach,Günter,,0,1,0,0,0,Günter Lach
18,66,7,CDU/CSU,Lagosky,Uwe,,0,1,0,0,0,Uwe Lagosky
18,66,7,CDU/CSU,Lamers,Karl A.,,0,1,0,0,0,Dr. Karl A. Lamers
18,66,7,CDU/CSU,Lämmel,Andreas G.,,0,1,0,0,0,Andreas G. Lämmel
