Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,AbgNr,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung
18,44,6,CDU/CSU,10,Albani,Stephan,,0,1,0,0,0,Stephan Albani
18,44,6,CDU/CSU,20,Albsteiger,Katrin,,0,1,0,0,0,Katrin Albsteiger
18,44,6,CDU/CSU,30,Altmaier,Peter,,0,1,0,0,0,Peter Altmaier
18,44,6,CDU/CSU,40,Auernhammer,Artur,,0,1,0,0,0,Artur Auernhammer
18,44,6,CDU/CSU,50,Bär,Dorothee,,0,1,0,0,0,Dorothee Bär
18,44,6,CDU/CSU,60,Bareiß,Thomas,,0,1,0,0,0,Thomas Bareiß
18,44,6,CDU/CSU,70,Barthle,Norbert,,0,1,0,0,0,Norbert Barthle
18,44,6,CDU/CSU,80,Bartz,Julia,,0,1,0,0,0,Julia Bartz
18,44,6,CDU/CSU,90,Baumann,Günter,,0,1,0,0,0,Günter Baumann
18,44,6,CDU/CSU,100,Beermann,Maik,,0,0,0,0,1,Maik Beermann
18,44,6,CDU/CSU,110,Behrens (Börde),Manfred,,0,1,0,0,0,Manfred Behrens (Börde)
18,44,6,CDU/CSU,120,Bellmann,Veronika,,0,1,0,0,0,Veronika Bellmann
18,44,6,CDU/CSU,130,Benning,Sybille,,0,1,0,0,0,Sybille Benning
18,44,6,CDU/CSU,140,Berghegger,Andre,,0,1,0,0,0,Dr. Andre Berghegger
18,44,6,CDU/CSU,150,Bergner,Christoph,,0,1,0,0,0,Dr. Christoph Bergner
18,44,6,CDU/CSU,160,Bertram,Ute,,0,1,0,0,0,Ute Bertram
18,44,6,CDU/CSU,170,Beyer,Peter,,0,1,0,0,0,Peter Beyer
18,44,6,CDU/CSU,180,Bilger,Steffen,,0,1,0,0,0,Steffen Bilger
18,44,6,CDU/CSU,190,Binninger,Clemens,,0,1,0,0,0,Clemens Binninger
18,44,6,CDU/CSU,200,Bleser,Peter,,0,1,0,0,0,Peter Bleser
18,44,6,CDU/CSU,210,Böhmer,Maria,,0,0,0,0,1,Dr. Maria Böhmer
18,44,6,CDU/CSU,220,Bosbach,Wolfgang,,0,1,0,0,0,Wolfgang Bosbach
18,44,6,CDU/CSU,230,Brackmann,Norbert,,0,1,0,0,0,Norbert Brackmann
18,44,6,CDU/CSU,240,Brähmig,Klaus,,0,1,0,0,0,Klaus Brähmig
18,44,6,CDU/CSU,250,Brand,Michael,,0,0,0,0,1,Michael Brand
18,44,6,CDU/CSU,260,Brandl,Reinhard,,0,1,0,0,0,Dr. Reinhard Brandl
18,44,6,CDU/CSU,270,Brandt,Helmut,,0,1,0,0,0,Helmut Brandt
18,44,6,CDU/CSU,280,Brauksiepe,Ralf,,0,1,0,0,0,Dr. Ralf Brauksiepe
18,44,6,CDU/CSU,290,Braun,Helge,,0,1,0,0,0,Dr. Helge Braun
18,44,6,CDU/CSU,300,Brehmer,Heike,,0,1,0,0,0,Heike Brehmer
18,44,6,CDU/CSU,310,Brinkhaus,Ralph,,0,1,0,0,0,Ralph Brinkhaus
18,44,6,CDU/CSU,320,Caesar,Cajus,,0,1,0,0,0,Cajus Caesar
18,44,6,CDU/CSU,330,Connemann,Gitta,,0,1,0,0,0,Gitta Connemann
18,44,6,CDU/CSU,340,Dinges-Dierig,Alexandra,,0,1,0,0,0,Alexandra Dinges-Dierig
18,44,6,CDU/CSU,350,Dobrindt,Alexander,,0,1,0,0,0,Alexander Dobrindt
18,44,6,CDU/CSU,380,Donth,Michael,,0,1,0,0,0,Michael Donth
18,44,6,CDU/CSU,360,Dörflinger,Thomas,,0,1,0,0,0,Thomas Dörflinger
18,44,6,CDU/CSU,370,Dött,Marie-Luise,,0,1,0,0,0,Marie-Luise Dött
18,44,6,CDU/CSU,390,Durz,Hansjörg,,0,1,0,0,0,Hansjörg Durz
18,44,6,CDU/CSU,400,Eckenbach,Jutta,,0,1,0,0,0,Jutta Eckenbach
