Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung
18,42,4,CDU/CSU,Brand,Michael,,0,1,0,0,0,Michael Brand
18,42,4,CDU/CSU,Brandl,Reinhard,,0,1,0,0,0,Dr. Reinhard Brandl
18,42,4,CDU/CSU,Brandt,Helmut,,0,1,0,0,0,Helmut Brandt
18,42,4,CDU/CSU,Brauksiepe,Ralf,,0,1,0,0,0,Dr. Ralf Brauksiepe
18,42,4,CDU/CSU,Braun,Helge,,0,1,0,0,0,Dr. Helge Braun
18,42,4,CDU/CSU,Brehmer,Heike,,0,1,0,0,0,Heike Brehmer
18,42,4,CDU/CSU,Brinkhaus,Ralph,,0,1,0,0,0,Ralph Brinkhaus
18,42,4,CDU/CSU,Caesar,Cajus,,0,1,0,0,0,Cajus Caesar
18,42,4,CDU/CSU,Connemann,Gitta,,0,1,0,0,0,Gitta Connemann
18,42,4,CDU/CSU,Dinges-Dierig,Alexandra,,0,1,0,0,0,Alexandra Dinges-Dierig
18,42,4,CDU/CSU,Dobrindt,Alexander,,0,1,0,0,0,Alexander Dobrindt
18,42,4,CDU/CSU,Donth,Michael,,0,1,0,0,0,Michael Donth
18,42,4,CDU/CSU,Dörflinger,Thomas,,0,1,0,0,0,Thomas Dörflinger
18,42,4,CDU/CSU,Dött,Marie-Luise,,0,1,0,0,0,Marie-Luise Dött
18,42,4,CDU/CSU,Durz,Hansjörg,,0,1,0,0,0,Hansjörg Durz
18,42,4,CDU/CSU,Eckenbach,Jutta,,0,1,0,0,0,Jutta Eckenbach
18,42,4,CDU/CSU,Fabritius,Bernd,,0,0,0,0,1,Dr. Bernd Fabritius
18,42,4,CDU/CSU,Färber,Hermann,,0,1,0,0,0,Hermann Färber
18,42,4,CDU/CSU,Feiler,Uwe,,0,1,0,0,0,Uwe Feiler
18,42,4,CDU/CSU,Feist,Thomas,,0,1,0,0,0,Dr. Thomas Feist
18,42,4,CDU/CSU,Ferlemann,Enak,,0,1,0,0,0,Enak Ferlemann
18,42,4,CDU/CSU,Fischbach,Ingrid,,0,1,0,0,0,Ingrid Fischbach
18,42,4,CDU/CSU,Fischer (Hamburg),Dirk,,0,1,0,0,0,Dirk Fischer (Hamburg)
18,42,4,CDU/CSU,Fischer (Karlsruhe-Land),Axel E.,,0,1,0,0,0,Axel E. Fischer (Karlsruhe-Land)
18,42,4,CDU/CSU,Flachsbarth,Maria,,0,1,0,0,0,Dr. Maria Flachsbarth
18,42,4,CDU/CSU,Flosbach,Klaus-Peter,,0,0,0,0,1,Klaus-Peter Flosbach
18,42,4,CDU/CSU,Frei,Thorsten,,0,1,0,0,0,Thorsten Frei
18,42,4,CDU/CSU,Freudenstein,Astrid,,0,1,0,0,0,Dr. Astrid Freudenstein
18,42,4,CDU/CSU,Friedrich (Hof),Hans-Peter,,0,1,0,0,0,Dr. Hans-Peter Friedrich (Hof)
18,42,4,CDU/CSU,Frieser,Michael,,0,1,0,0,0,Michael Frieser
18,42,4,CDU/CSU,Fuchs,Michael,,0,1,0,0,0,Dr. Michael Fuchs
18,42,4,CDU/CSU,Fuchtel,Hans-Joachim,,0,1,0,0,0,Hans-Joachim Fuchtel
18,42,4,CDU/CSU,Funk,Alexander,,0,1,0,0,0,Alexander Funk
18,42,4,CDU/CSU,Gädechens,Ingo,,0,1,0,0,0,Ingo Gädechens
18,42,4,CDU/CSU,Gauweiler,Peter,,0,0,0,0,1,Dr. Peter Gauweiler
18,42,4,CDU/CSU,Gebhart,Thomas,,0,1,0,0,0,Dr. Thomas Gebhart
18,42,4,CDU/CSU,Gerig,Alois,,0,1,0,0,0,Alois Gerig
18,42,4,CDU/CSU,Gienger,Eberhard,,0,1,0,0,0,Eberhard Gienger
18,42,4,CDU/CSU,Giousouf,Cemile,,0,0,0,0,1,Cemile Giousouf
18,42,4,CDU/CSU,Göppel,Josef,,0,0,0,0,1,Josef Göppel
18,42,4,CDU/CSU,Grindel,Reinhard,,0,1,0,0,0,Reinhard Grindel
18,42,4,CDU/CSU,Groden-Kranich,Ursula,,0,1,0,0,0,Ursula Groden-Kranich
18,42,4,CDU/CSU,Gröhe,Hermann,,0,1,0,0,0,Hermann Gröhe
18,42,4,CDU/CSU,Gröhler,Klaus-Dieter,,0,1,0,0,0,Klaus-Dieter Gröhler
18,42,4,CDU/CSU,Grosse-Brömer,Michael,,0,1,0,0,0,Michael Grosse-Brömer
18,42,4,CDU/CSU,Grotelüschen,Astrid,,0,1,0,0,0,Astrid Grotelüschen
18,42,4,CDU/CSU,Grübel,Markus,,0,1,0,0,0,Markus Grübel
18,42,4,CDU/CSU,Grund,Manfred,,0,1,0,0,0,Manfred Grund
