Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,AbgNr,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung
18,44,3,CDU/CSU,10,Albani,Stephan,,1,0,0,0,0,Stephan Albani
18,44,3,CDU/CSU,20,Albsteiger,Katrin,,1,0,0,0,0,Katrin Albsteiger
18,44,3,CDU/CSU,30,Altmaier,Peter,,1,0,0,0,0,Peter Altmaier
18,44,3,CDU/CSU,40,Auernhammer,Artur,,1,0,0,0,0,Artur Auernhammer
18,44,3,CDU/CSU,50,Bär,Dorothee,,1,0,0,0,0,Dorothee Bär
18,44,3,CDU/CSU,60,Bareiß,Thomas,,1,0,0,0,0,Thomas Bareiß
18,44,3,CDU/CSU,70,Barthle,Norbert,,1,0,0,0,0,Norbert Barthle
18,44,3,CDU/CSU,80,Bartz,Julia,,1,0,0,0,0,Julia Bartz
18,44,3,CDU/CSU,90,Baumann,Günter,,1,0,0,0,0,Günter Baumann
18,44,3,CDU/CSU,100,Beermann,Maik,,0,0,0,0,1,Maik Beermann
18,44,3,CDU/CSU,110,Behrens (Börde),Manfred,,1,0,0,0,0,Manfred Behrens (Börde)
18,44,3,CDU/CSU,120,Bellmann,Veronika,,1,0,0,0,0,Veronika Bellmann
18,44,3,CDU/CSU,130,Benning,Sybille,,1,0,0,0,0,Sybille Benning
18,44,3,CDU/CSU,140,Berghegger,Andre,,1,0,0,0,0,Dr. Andre Berghegger
18,44,3,CDU/CSU,150,Bergner,Christoph,,1,0,0,0,0,Dr. Christoph Bergner
18,44,3,CDU/CSU,160,Bertram,Ute,,1,0,0,0,0,Ute Bertram
18,44,3,CDU/CSU,170,Beyer,Peter,,1,0,0,0,0,Peter Beyer
18,44,3,CDU/CSU,180,Bilger,Steffen,,1,0,0,0,0,Steffen Bilger
18,44,3,CDU/CSU,190,Binninger,Clemens,,1,0,0,0,0,Clemens Binninger
18,44,3,CDU/CSU,200,Bleser,Peter,,1,0,0,0,0,Peter Bleser
18,44,3,CDU/CSU,210,Böhmer,Maria,,0,0,0,0,1,Dr. Maria Böhmer
18,44,3,CDU/CSU,220,Bosbach,Wolfgang,,1,0,0,0,0,Wolfgang Bosbach
18,44,3,CDU/CSU,230,Brackmann,Norbert,,1,0,0,0,0,Norbert Brackmann
