Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung
18,33,3,CDU/CSU,Albani,Stephan,,0,1,0,0,0,Stephan Albani
18,33,3,CDU/CSU,Albsteiger,Katrin,,0,1,0,0,0,Katrin Albsteiger
18,33,3,CDU/CSU,Altmaier,Peter,,0,0,0,0,1,Peter Altmaier
18,33,3,CDU/CSU,Auernhammer,Artur,,0,1,0,0,0,Artur Auernhammer
18,33,3,CDU/CSU,Bär,Dorothee,,0,1,0,0,0,Dorothee Bär
18,33,3,CDU/CSU,Bareiß,Thomas,,0,1,0,0,0,Thomas Bareiß
18,33,3,CDU/CSU,Barthle,Norbert,,0,1,0,0,0,Norbert Barthle
18,33,3,CDU/CSU,Bartz,Julia,,0,1,0,0,0,Julia Bartz
18,33,3,CDU/CSU,Baumann,Günter,,0,1,0,0,0,Günter Baumann
18,33,3,CDU/CSU,Beermann,Maik,,0,1,0,0,0,Maik Beermann
18,33,3,CDU/CSU,Behrens (Börde),Manfred,,0,1,0,0,0,Manfred Behrens (Börde)
18,33,3,CDU/CSU,Bellmann,Veronika,,0,1,0,0,0,Veronika Bellmann
18,33,3,CDU/CSU,Benning,Sybille,,0,1,0,0,0,Sybille Benning
18,33,3,CDU/CSU,Berghegger,Andre,,0,1,0,0,0,Dr. Andre Berghegger
18,33,3,CDU/CSU,Bergner,Christoph,,0,1,0,0,0,Dr. Christoph Bergner
18,33,3,CDU/CSU,Bertram,Ute,,0,1,0,0,0,Ute Bertram
18,33,3,CDU/CSU,Beyer,Peter,,0,0,0,0,1,Peter Beyer
18,33,3,CDU/CSU,Bilger,Steffen,,0,1,0,0,0,Steffen Bilger
18,33,3,CDU/CSU,Binninger,Clemens,,0,1,0,0,0,Clemens Binninger
18,33,3,CDU/CSU,Bleser,Peter,,0,1,0,0,0,Peter Bleser
18,33,3,CDU/CSU,Böhmer,Maria,,0,0,0,0,1,Dr. Maria Böhmer
18,33,3,CDU/CSU,Bosbach,Wolfgang,,0,1,0,0,0,Wolfgang Bosbach
18,33,3,CDU/CSU,Brackmann,Norbert,,0,1,0,0,0,Norbert Brackmann
18,33,3,CDU/CSU,Brähmig,Klaus,,0,1,0,0,0,Klaus Brähmig
18,33,3,CDU/CSU,Brand,Michael,,0,1,0,0,0,Michael Brand
18,33,3,CDU/CSU,Brandl,Reinhard,,0,1,0,0,0,Dr. Reinhard Brandl
18,33,3,CDU/CSU,Brandt,Helmut,,0,1,0,0,0,Helmut Brandt
18,33,3,CDU/CSU,Brauksiepe,Ralf,,0,1,0,0,0,Dr. Ralf Brauksiepe
18,33,3,CDU/CSU,Braun,Helge,,0,1,0,0,0,Dr. Helge Braun
18,33,3,CDU/CSU,Brehmer,Heike,,0,1,0,0,0,Heike Brehmer
18,33,3,CDU/CSU,Brinkhaus,Ralph,,0,1,0,0,0,Ralph Brinkhaus
18,33,3,CDU/CSU,Caesar,Cajus,,0,1,0,0,0,Cajus Caesar
18,33,3,CDU/CSU,Connemann,Gitta,,0,1,0,0,0,Gitta Connemann
18,33,3,CDU/CSU,Dinges-Dierig,Alexandra,,0,1,0,0,0,Alexandra Dinges-Dierig
18,33,3,CDU/CSU,Dobrindt,Alexander,,0,1,0,0,0,Alexander Dobrindt
18,33,3,CDU/CSU,Donth,Michael,,0,1,0,0,0,Michael Donth
18,33,3,CDU/CSU,Dörflinger,Thomas,,0,1,0,0,0,Thomas Dörflinger
18,33,3,CDU/CSU,Dött,Marie-Luise,,0,1,0,0,0,Marie-Luise Dött
18,33,3,CDU/CSU,Durz,Hansjörg,,0,1,0,0,0,Hansjörg Durz
18,33,3,CDU/CSU,Eckenbach,Jutta,,0,1,0,0,0,Jutta Eckenbach
18,33,3,CDU/CSU,Fabritius,Bernd,,0,1,0,0,0,Dr. Bernd Fabritius
18,33,3,CDU/CSU,Färber,Hermann,,0,1,0,0,0,Hermann Färber
18,33,3,CDU/CSU,Feiler,Uwe,,0,1,0,0,0,Uwe Feiler
18,33,3,CDU/CSU,Feist,Thomas,,0,1,0,0,0,Dr. Thomas Feist
18,33,3,CDU/CSU,Ferlemann,Enak,,0,1,0,0,0,Enak Ferlemann
18,33,3,CDU/CSU,Fischbach,Ingrid,,0,1,0,0,0,Ingrid Fischbach
18,33,3,CDU/CSU,Fischer (Hamburg),Dirk,,0,0,0,0,1,Dirk Fischer (Hamburg)
