Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,AbgNr,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung
18,3,2,CDU/CSU,1330,Koschyk,Hartmut,,1,0,0,0,0,Hartmut Koschyk
18,3,2,CDU/CSU,1340,Kovac,Kordula,,1,0,0,0,0,Kordula Kovac
18,3,2,CDU/CSU,1350,Kretschmer,Michael,,1,0,0,0,0,Michael Kretschmer
18,3,2,CDU/CSU,1360,Krichbaum,Gunther,,1,0,0,0,0,Gunther Krichbaum
18,3,2,CDU/CSU,1370,Krings,Günter,,0,0,0,0,1,Dr. Günter Krings
18,3,2,CDU/CSU,1380,Kruse,Rüdiger,,1,0,0,0,0,Rüdiger Kruse
18,3,2,CDU/CSU,1390,Kudla,Bettina,,0,0,0,0,1,Bettina Kudla
18,3,2,CDU/CSU,1400,Kühne,Roy,,1,0,0,0,0,Dr. Roy Kühne
18,3,2,CDU/CSU,1410,Lach,Günter,,0,0,0,0,1,Günter Lach
18,3,2,CDU/CSU,1430,Lagosky,Uwe,,1,0,0,0,0,Uwe Lagosky
18,3,2,CDU/CSU,1440,Lamers (Heidelberg),Karl A.,,0,0,0,0,1,Dr. Karl A. Lamers (Heidelberg)
18,3,2,CDU/CSU,1420,Lämmel,Andreas G.,,1,0,0,0,0,Andreas G. Lämmel
18,3,2,CDU/CSU,1450,Lammert,Norbert,,1,0,0,0,0,Dr. Norbert Lammert
18,3,2,CDU/CSU,1460,Landgraf,Katharina,,1,0,0,0,0,Katharina Landgraf
18,3,2,CDU/CSU,1470,Lange,Ulrich,,1,0,0,0,0,Ulrich Lange
18,3,2,CDU/CSU,1480,Lanzinger,Barbara,,1,0,0,0,0,Barbara Lanzinger
18,3,2,CDU/CSU,1490,Launert,Silke,,1,0,0,0,0,Silke Launert
18,3,2,CDU/CSU,1500,Lehrieder,Paul,,1,0,0,0,0,Paul Lehrieder
18,3,2,CDU/CSU,1510,Leikert,Katja,,1,0,0,0,0,Dr. Katja Leikert
18,3,2,CDU/CSU,1520,Lengsfeld,Philipp,,1,0,0,0,0,Dr. Philipp Lengsfeld
18,3,2,CDU/CSU,1530,Lenz,Andreas,,1,0,0,0,0,Dr. Andreas Lenz
18,3,2,CDU/CSU,1540,Lerchenfeld,Philipp,Graf,1,0,0,0,0,Philipp Graf Lerchenfeld
18,3,2,CDU/CSU,1550,Leyen,Ursula,von der,1,0,0,0,0,Dr. Ursula von der Leyen
18,3,2,CDU/CSU,1560,Lezius,Antje,,1,0,0,0,0,Antje Lezius
18,3,2,CDU/CSU,1570,Liebing,Ingbert,,1,0,0,0,0,Ingbert Liebing
18,3,2,CDU/CSU,1580,Lietz,Matthias,,1,0,0,0,0,Matthias Lietz
18,3,2,CDU/CSU,1590,Lindholz,Andrea,,1,0,0,0,0,Andrea Lindholz
18,3,2,CDU/CSU,1600,Linnemann,Carsten,,1,0,0,0,0,Dr. Carsten Linnemann
18,3,2,CDU/CSU,1610,Lips,Patricia,,1,0,0,0,0,Patricia Lips
18,3,2,CDU/CSU,1620,Lorenz,Wilfried,,1,0,0,0,0,Wilfried Lorenz
18,3,2,CDU/CSU,1650,Lücking-Michel,Claudia,,1,0,0,0,0,Dr. Claudia Lücking-Michel
18,3,2,CDU/CSU,1630,Luczak,Jan-Marco,,1,0,0,0,0,Dr. Jan-Marco Luczak
18,3,2,CDU/CSU,1640,Ludwig,Daniela,,1,0,0,0,0,Daniela Ludwig
18,3,2,CDU/CSU,1660,Maag,Karin,,1,0,0,0,0,Karin Maag
18,3,2,CDU/CSU,1670,Magwas,Yvonne,,1,0,0,0,0,Yvonne Magwas
18,3,2,CDU/CSU,1680,Mahlberg,Thomas,,1,0,0,0,0,Thomas Mahlberg
18,3,2,CDU/CSU,1690,Maizière,Thomas,de,1,0,0,0,0,Dr. Thomas de Maizière
18,3,2,CDU/CSU,1700,Manderla,Gisela,,1,0,0,0,0,Gisela Manderla
18,3,2,CDU/CSU,1710,Marschall,Matern,von,1,0,0,0,0,Matern von Marschall
18,3,2,CDU/CSU,1720,Marwitz,Hans-Georg,von der,0,0,0,0,1,Hans-Georg von der Marwitz
18,3,2,CDU/CSU,1730,Mattfeldt,Andreas,,1,0,0,0,0,Andreas Mattfeldt
18,3,2,CDU/CSU,1740,Mayer (Altötting),Stephan,,0,0,0,0,1,Stephan Mayer (Altötting)
18,3,2,CDU/CSU,1750,Meier,Reiner,,0,0,0,0,1,Reiner Meier
18,3,2,CDU/CSU,1760,Meister,Michael,,1,0,0,0,0,Dr. Michael Meister
18,3,2,CDU/CSU,1770,Merkel,Angela,,0,0,0,0,1,Dr. Angela Merkel
18,3,2,CDU/CSU,1780,Metzler,Jan,,1,0,0,0,0,Jan Metzler
18,3,2,CDU/CSU,1790,Michalk,Maria,,1,0,0,0,0,Maria Michalk
18,3,2,CDU/CSU,1800,Michelbach,Hans,,1,0,0,0,0,Dr. h.c. Hans Michelbach
18,3,2,CDU/CSU,1810,Middelberg,Mathias,,1,0,0,0,0,Dr. Mathias Middelberg
18,3,2,CDU/CSU,1820,Mißfelder,Philipp,,1,0,0,0,0,Philipp Mißfelder
18,3,2,CDU/CSU,1840,Monstadt,Dietrich,,1,0,0,0,0,Dietrich Monstadt
18,3,2,CDU/CSU,1830,Möring,Karsten,,1,0,0,0,0,Karsten Möring
18,3,2,CDU/CSU,1850,Mortler,Marlene,,0,0,0,0,1,Marlene Mortler
18,3,2,CDU/CSU,1860,Motschmann,Elisabeth,,1,0,0,0,0,Elisabeth Motschmann
18,3,2,CDU/CSU,1870,Müller,Gerd,,1,0,0,0,0,Dr. Gerd Müller
18,3,2,CDU/CSU,1880,Müller (Braunschweig),Carsten,,1,0,0,0,0,Carsten Müller (Braunschweig)
18,3,2,CDU/CSU,1890,Müller (Erlangen),Stefan,,1,0,0,0,0,Stefan Müller (Erlangen)
18,3,2,CDU/CSU,1900,Murmann,Philipp,,1,0,0,0,0,Dr. Philipp Murmann
18,3,2,CDU/CSU,1910,Nick,Andreas,,1,0,0,0,0,Dr. Andreas Nick
18,3,2,CDU/CSU,1920,Noll,Michaela,,1,0,0,0,0,Michaela Noll
18,3,2,CDU/CSU,1930,Nowak,Helmut,,1,0,0,0,0,Helmut Nowak
18,3,2,CDU/CSU,1940,Nüßlein,Georg,,0,0,0,0,1,Dr. Georg Nüßlein
18,3,2,CDU/CSU,1950,Oellers,Wilfried,,1,0,0,0,0,Wilfried Oellers
18,3,2,CDU/CSU,1960,Oßner,Florian,,1,0,0,0,0,Florian Oßner
18,3,2,CDU/CSU,1970,Ostermann,Tim,,1,0,0,0,0,Dr. Tim Ostermann
18,3,2,CDU/CSU,1980,Otte,Henning,,1,0,0,0,0,Henning Otte
18,3,2,CDU/CSU,2000,Pahlmann,Ingrid,,1,0,0,0,0,Ingrid Pahlmann
18,3,2,CDU/CSU,2010,Pantel,Sylvia,,1,0,0,0,0,Sylvia Pantel
18,3,2,CDU/CSU,2020,Patzelt,Martin,,1,0,0,0,0,Martin Patzelt
18,3,2,CDU/CSU,1990,Pätzold,Martin,,1,0,0,0,0,Dr. Martin Pätzold
18,3,2,CDU/CSU,2030,Petzold,Ulrich,,1,0,0,0,0,Ulrich Petzold
18,3,2,CDU/CSU,2040,Pfeiffer,Joachim,,1,0,0,0,0,Dr. Joachim Pfeiffer
18,3,2,CDU/CSU,2050,Pfeiffer,Sibylle,,1,0,0,0,0,Sibylle Pfeiffer
18,3,2,CDU/CSU,2060,Pofalla,Ronald,,1,0,0,0,0,Ronald Pofalla
18,3,2,CDU/CSU,2070,Pols,Eckhard,,0,0,0,0,1,Eckhard Pols
18,3,2,CDU/CSU,2080,Rachel,Thomas,,0,0,0,0,1,Thomas Rachel
18,3,2,CDU/CSU,2090,Radomski,Kerstin,,1,0,0,0,0,Kerstin Radomski
18,3,2,CDU/CSU,2100,Radwan,Alexander,,1,0,0,0,0,Alexander Radwan
18,3,2,CDU/CSU,2110,Rainer,Alois,,1,0,0,0,0,Alois Rainer
18,3,2,CDU/CSU,2120,Ramsauer,Peter,,1,0,0,0,0,Dr. Peter Ramsauer
18,3,2,CDU/CSU,2130,Rehberg,Eckhardt,,1,0,0,0,0,Eckhardt Rehberg
18,3,2,CDU/CSU,2140,Reiche (Potsdam),Katherina,,1,0,0,0,0,Katherina Reiche (Potsdam)
18,3,2,CDU/CSU,2150,Riebsamen,Lothar,,1,0,0,0,0,Lothar Riebsamen
18,3,2,CDU/CSU,2160,Rief,Josef,,1,0,0,0,0,Josef Rief
18,3,2,CDU/CSU,2170,Riesenhuber,Heinz,,1,0,0,0,0,Dr. Heinz Riesenhuber
18,3,2,CDU/CSU,2180,Röring,Johannes,,1,0,0,0,0,Johannes Röring
18,3,2,CDU/CSU,2190,Röttgen,Norbert,,1,0,0,0,0,Dr. Norbert Röttgen
18,3,2,CDU/CSU,2200,Rüddel,Erwin,,1,0,0,0,0,Erwin Rüddel
18,3,2,CDU/CSU,2210,Rupprecht (Weiden),Albert,,1,0,0,0,0,Albert Rupprecht (Weiden)
18,3,2,CDU/CSU,2220,Schäfer (Saalstadt),Anita,,1,0,0,0,0,Anita Schäfer (Saalstadt)
18,3,2,CDU/CSU,2230,Schäuble,Wolfgang,,1,0,0,0,0,Dr. Wolfgang Schäuble
18,3,2,CDU/CSU,2240,Schavan,Annette,,1,0,0,0,0,Dr. Annette Schavan
18,3,2,CDU/CSU,2250,Scheuer,Andreas,,0,0,0,0,1,Dr. Andreas Scheuer
18,3,2,CDU/CSU,2260,Schiewerling,Karl,,1,0,0,0,0,Karl Schiewerling
18,3,2,CDU/CSU,2270,Schimke,Jana,,1,0,0,0,0,Jana Schimke
18,3,2,CDU/CSU,2280,Schindler,Norbert,,1,0,0,0,0,Norbert Schindler
18,3,2,CDU/CSU,2290,Schipanski,Tankred,,1,0,0,0,0,Tankred Schipanski
18,3,2,CDU/CSU,2300,Schmelzle,Heiko,,1,0,0,0,0,Heiko Schmelzle
18,3,2,CDU/CSU,2310,Schmidt (Fürth),Christian,,1,0,0,0,0,Christian Schmidt (Fürth)
18,3,2,CDU/CSU,2320,Schmidt (Ühlingen),Gabriele,,1,0,0,0,0,Gabriele Schmidt (Ühlingen)
18,3,2,CDU/CSU,2330,Schnieder,Patrick,,1,0,0,0,0,Patrick Schnieder
18,3,2,CDU/CSU,2340,Schockenhoff,Andreas,,1,0,0,0,0,Dr. Andreas Schockenhoff
18,3,2,CDU/CSU,2350,Schön (St. Wendel),Nadine,,1,0,0,0,0,Nadine Schön (St. Wendel)
18,3,2,CDU/CSU,2360,Schröder,Ole,,1,0,0,0,0,Dr. Ole Schröder
18,3,2,CDU/CSU,2370,Schröder (Wiesbaden),Kristina,,0,0,0,0,1,Dr. Kristina Schröder (Wiesbaden)
18,3,2,CDU/CSU,2380,Schulte-Drüggelte,Bernhard,,1,0,0,0,0,Bernhard Schulte-Drüggelte
18,3,2,CDU/CSU,2390,Schulze,Klaus-Peter,,1,0,0,0,0,Dr. Klaus-Peter Schulze
18,3,2,CDU/CSU,2400,Schummer,Uwe,,1,0,0,0,0,Uwe Schummer
18,3,2,CDU/CSU,2410,Schuster (Weil am Rhein),Armin,,1,0,0,0,0,Armin Schuster (Weil am Rhein)
18,3,2,CDU/CSU,2420,Schwarzer,Christina,,1,0,0,0,0,Christina Schwarzer
18,3,2,CDU/CSU,2430,Seif,Detlef,,1,0,0,0,0,Detlef Seif
18,3,2,CDU/CSU,2440,Selle,Johannes,,1,0,0,0,0,Johannes Selle
18,3,2,CDU/CSU,2450,Sendker,Reinhold,,1,0,0,0,0,Reinhold Sendker
18,3,2,CDU/CSU,2460,Sensburg,Patrick,,1,0,0,0,0,Dr. Patrick Sensburg
18,3,2,CDU/CSU,2470,Siebert,Bernd,,1,0,0,0,0,Bernd Siebert
18,3,2,CDU/CSU,2480,Silberhorn,Thomas,,1,0,0,0,0,Thomas Silberhorn
18,3,2,CDU/CSU,2490,Singhammer,Johannes,,1,0,0,0,0,Johannes Singhammer
18,3,2,CDU/CSU,2500,Sorge,Tino,,1,0,0,0,0,Tino Sorge
18,3,2,CDU/CSU,2510,Spahn,Jens,,1,0,0,0,0,Jens Spahn
18,3,2,CDU/CSU,2520,Stauche,Carola,,1,0,0,0,0,Carola Stauche
18,3,2,CDU/CSU,2530,Steffel,Frank,,0,0,0,0,1,Dr. Frank Steffel
18,3,2,CDU/CSU,2540,Stefinger,Wolfgang,,1,0,0,0,0,Dr. Wolfgang Stefinger
18,3,2,CDU/CSU,2550,Stegemann,Albert,,1,0,0,0,0,Albert Stegemann
18,3,2,CDU/CSU,2560,Stein,Peter,,1,0,0,0,0,Peter Stein
18,3,2,CDU/CSU,2570,Steinbach,Erika,,1,0,0,0,0,Erika Steinbach
18,3,2,CDU/CSU,2580,Steineke,Sebastian,,1,0,0,0,0,Sebastian Steineke
18,3,2,CDU/CSU,2590,Steiniger,Johannes,,1,0,0,0,0,Johannes Steiniger
18,3,2,CDU/CSU,2600,Stetten,Christian,Frhr. von,1,0,0,0,0,Christian Frhr. von Stetten
18,3,2,CDU/CSU,2610,Stier,Dieter,,1,0,0,0,0,Dieter Stier
18,3,2,CDU/CSU,2620,Stockhofe,Rita,,1,0,0,0,0,Rita Stockhofe
18,3,2,CDU/CSU,2630,Storjohann,Gero,,1,0,0,0,0,Gero Storjohann
18,3,2,CDU/CSU,2640,Stracke,Stephan,,1,0,0,0,0,Stephan Stracke
18,3,2,CDU/CSU,2650,Straubinger,Max,,1,0,0,0,0,Max Straubinger
18,3,2,CDU/CSU,2660,Strebl,Matthäus,,1,0,0,0,0,Matthäus Strebl
18,3,2,CDU/CSU,2670,Strenz,Karin,,0,0,0,0,1,Karin Strenz
18,3,2,CDU/CSU,2680,Stritzl,Thomas,,1,0,0,0,0,Thomas Stritzl
18,3,2,CDU/CSU,2690,Strobl (Heilbronn),Thomas,,1,0,0,0,0,Thomas Strobl (Heilbronn)
18,3,2,CDU/CSU,2700,Strothmann,Lena,,1,0,0,0,0,Lena Strothmann
18,3,2,CDU/CSU,2710,Stübgen,Michael,,1,0,0,0,0,Michael Stübgen
