Wahlperiode;Sitzungnr;Abstimmnr;Fraktion/Gruppe;Name;Vorname;Titel;ja;nein;Enthaltung;ungültig;nichtabgegeben;Bezeichnung;Bemerkung
18;228;2;CDU/CSU;Gröhe;Hermann;;0;0;0;0;1;Hermann Gröhe;
18;228;2;CDU/CSU;Gröhler;Klaus-Dieter;;0;1;0;0;0;Klaus-Dieter Gröhler;
18;228;2;CDU/CSU;Grosse-Brömer;Michael;;0;1;0;0;0;Michael Grosse-Brömer;
18;228;2;CDU/CSU;Grotelüschen;Astrid;;0;1;0;0;0;Astrid Grotelüschen;
18;228;2;CDU/CSU;Grübel;Markus;;0;1;0;0;0;Markus Grübel;
18;228;2;CDU/CSU;Grund;Manfred;;0;1;0;0;0;Manfred Grund;
18;228;2;CDU/CSU;Grundmann;Oliver;;0;1;0;0;0;Oliver Grundmann;
18;228;2;CDU/CSU;Grütters;Monika;;0;1;0;0;0;Monika Grütters;
18;228;2;CDU/CSU;Gundelach;Herlind;;0;1;0;0;0;Dr. Herlind Gundelach;
18;228;2;CDU/CSU;Güntzler;Fritz;;0;1;0;0;0;Fritz Güntzler;
18;228;2;CDU/CSU;Gutting;Olav;;0;1;0;0;0;Olav Gutting;
18;228;2;CDU/CSU;Haase;Christian;;0;1;0;0;0;Christian Haase;
18;228;2;CDU/CSU;Hahn;Florian;;0;1;0;0;0;Florian Hahn;
18;228;2;CDU/CSU;Hajek;Rainer;;0;0;0;0;1;Rainer Hajek;
18;228;2;CDU/CSU;Harbarth;Stephan;;0;1;0;0;0;Dr. Stephan Harbarth;
18;228;2;CDU/CSU;Hardt;Jürgen;;0;0;0;0;1;Jürgen Hardt;
18;228;2;CDU/CSU;Hasselfeldt;Gerda;;0;1;0;0;0;Gerda Hasselfeldt;
18;228;2;CDU/CSU;Hauer;Matthias;;0;1;0;0;0;Matthias Hauer;
18;228;2;CDU/CSU;Hauptmann;Mark;;0;1;0;0;0;Mark Hauptmann;
18;228;2;CDU/CSU;Heck;Stefan;;0;1;0;0;0;Dr. Stefan Heck;
18;228;2;CDU/CSU;Heider;Matthias;;0;1;0;0;0;Dr. Matthias Heider;
18;228;2;CDU/CSU;Heiderich;Helmut;;0;1;0;0;0;Helmut Heiderich;
18;228;2;CDU/CSU;Heil;Mechthild;;0;1;0;0;0;Mechthild Heil;
18;228;2;CDU/CSU;Heinrich (Chemnitz);Frank;;0;1;0;0;0;Frank Heinrich (Chemnitz);
18;228;2;CDU/CSU;Helfrich;Mark;;0;1;0;0;0;Mark Helfrich;
18;228;2;CDU/CSU;Heller;Uda;;0;0;0;0;1;Uda Heller;
18;228;2;CDU/CSU;Hellmuth;Jörg;;0;1;0;0;0;Jörg Hellmuth;
18;228;2;CDU/CSU;Henke;Rudolf;;0;1;0;0;0;Rudolf Henke;
18;228;2;CDU/CSU;Hennrich;Michael;;0;1;0;0;0;Michael Hennrich;
18;228;2;CDU/CSU;Heveling;Ansgar;;0;1;0;0;0;Ansgar Heveling;
18;228;2;CDU/CSU;Hirte;Christian;;0;1;0;0;0;Christian Hirte;
18;228;2;CDU/CSU;Hirte;Heribert;;0;1;0;0;0;Dr. Heribert Hirte;
18;228;2;CDU/CSU;Hochbaum;Robert;;0;1;0;0;0;Robert Hochbaum;
18;228;2;CDU/CSU;Hoffmann;Alexander;;0;1;0;0;0;Alexander Hoffmann;
18;228;2;CDU/CSU;Hoffmann (Dortmund);Thorsten;;0;1;0;0;0;Thorsten Hoffmann (Dortmund);
18;228;2;CDU/CSU;Holmeier;Karl;;0;1;0;0;0;Karl Holmeier;
18;228;2;CDU/CSU;Holzenkamp;Franz-Josef;;0;1;0;0;0;Franz-Josef Holzenkamp;
18;228;2;CDU/CSU;Hoppenstedt;Hendrik;;0;1;0;0;0;Dr. Hendrik Hoppenstedt;
18;228;2;CDU/CSU;Horb;Margaret;;0;1;0;0;0;Margaret Horb;
18;228;2;CDU/CSU;Hornhues;Bettina;;0;1;0;0;0;Bettina Hornhues;
18;228;2;CDU/CSU;Höschel;Mathias Edwin;;0;1;0;0;0;Dr. Mathias Edwin Höschel;
18;228;2;CDU/CSU;Huber;Charles M.;;0;0;0;0;1;Charles M. Huber;
18;228;2;CDU/CSU;Hübinger;Anette;;0;1;0;0;0;Anette Hübinger;
18;228;2;CDU/CSU;Hüppe;Hubert;;0;0;0;0;1;Hubert Hüppe;
18;228;2;CDU/CSU;Irlstorfer;Erich;;0;1;0;0;0;Erich Irlstorfer;
18;228;2;CDU/CSU;Jarzombek;Thomas;;0;1;0;0;0;Thomas Jarzombek;
18;228;2;CDU/CSU;Jörrißen;Sylvia;;0;1;0;0;0;Sylvia Jörrißen;
18;228;2;CDU/CSU;Jung;Andreas;;0;0;0;0;1;Andreas Jung;
18;228;2;CDU/CSU;Jung;Franz Josef;;0;1;0;0;0;Dr. Franz Josef Jung;
18;228;2;CDU/CSU;Jung;Xaver;;0;1;0;0;0;Xaver Jung;
18;228;2;CDU/CSU;Jüttner;Egon;;0;1;0;0;0;Dr. Egon Jüttner;
18;228;2;CDU/CSU;Kalb;Bartholomäus;;0;1;0;0;0;Bartholomäus Kalb;
18;228;2;CDU/CSU;Kammer;Hans-Werner;;0;1;0;0;0;Hans-Werner Kammer;
18;228;2;CDU/CSU;Kanitz;Steffen;;0;1;0;0;0;Steffen Kanitz;
18;228;2;CDU/CSU;Karl;Alois;;0;1;0;0;0;Alois Karl;
18;228;2;CDU/CSU;Karliczek;Anja;;0;1;0;0;0;Anja Karliczek;
18;228;2;CDU/CSU;Kaster;Bernhard;;0;1;0;0;0;Bernhard Kaster;
18;228;2;CDU/CSU;Kauder;Volker;;0;1;0;0;0;Volker Kauder;
18;228;2;CDU/CSU;Kaufmann;Stefan;;0;0;0;0;1;Dr. Stefan Kaufmann;
18;228;2;CDU/CSU;Kemmer;Ronja;;0;1;0;0;0;Ronja Kemmer;
18;228;2;CDU/CSU;Kiesewetter;Roderich;;0;1;0;0;0;Roderich Kiesewetter;
18;228;2;CDU/CSU;Kippels;Georg;;0;1;0;0;0;Dr. Georg Kippels;
18;228;2;CDU/CSU;Klein;Volkmar;;0;1;0;0;0;Volkmar Klein;
18;228;2;CDU/CSU;Klimke;Jürgen;;0;0;0;0;1;Jürgen Klimke;
18;228;2;CDU/CSU;Knoerig;Axel;;0;1;0;0;0;Axel Knoerig;
18;228;2;CDU/CSU;Koeppen;Jens;;0;1;0;0;0;Jens Koeppen;
18;228;2;CDU/CSU;Koob;Markus;;0;1;0;0;0;Markus Koob;
18;228;2;CDU/CSU;Körber;Carsten;;0;1;0;0;0;Carsten Körber;
18;228;2;CDU/CSU;Koschyk;Hartmut;;0;1;0;0;0;Hartmut Koschyk;
18;228;2;CDU/CSU;Kovac;Kordula;;0;1;0;0;0;Kordula Kovac;
18;228;2;CDU/CSU;Kretschmer;Michael;;0;1;0;0;0;Michael Kretschmer;
18;228;2;CDU/CSU;Krichbaum;Gunther;;0;1;0;0;0;Gunther Krichbaum;
18;228;2;CDU/CSU;Krings;Günter;;0;0;0;0;1;Dr. Günter Krings;
18;228;2;CDU/CSU;Kruse;Rüdiger;;0;1;0;0;0;Rüdiger Kruse;
18;228;2;CDU/CSU;Kudla;Bettina;;0;1;0;0;0;Bettina Kudla;
18;228;2;CDU/CSU;Kühne;Roy;;0;1;0;0;0;Dr. Roy Kühne;
18;228;2;CDU/CSU;Lach;Günter;;0;1;0;0;0;Günter Lach;
18;228;2;CDU/CSU;Lagosky;Uwe;;0;1;0;0;0;Uwe Lagosky;
18;228;2;CDU/CSU;Lamers;Karl A.;;0;1;0;0;0;Dr. Dr. h.c. Karl A. Lamers;
18;228;2;CDU/CSU;Lämmel;Andreas G.;;0;1;0;0;0;Andreas G. Lämmel;
18;228;2;CDU/CSU;Lammert;Norbert;;0;1;0;0;0;Dr. Norbert Lammert;
18;228;2;CDU/CSU;Landgraf;Katharina;;0;1;0;0;0;Katharina Landgraf;
18;228;2;CDU/CSU;Lange;Ulrich;;0;1;0;0;0;Ulrich Lange;
18;228;2;CDU/CSU;Lanzinger;Barbara;;0;1;0;0;0;Barbara Lanzinger;
18;228;2;CDU/CSU;Launert;Silke;;0;1;0;0;0;Dr. Silke Launert;
18;228;2;CDU/CSU;Lehrieder;Paul;;0;1;0;0;0;Paul Lehrieder;
18;228;2;CDU/CSU;Leikert;Katja;;0;1;0;0;0;Dr. Katja Leikert;
