Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung
18,36,2,CDU/CSU,Albani,Stephan,,0,1,0,0,0,Stephan Albani
18,36,2,CDU/CSU,Albsteiger,Katrin,,0,1,0,0,0,Katrin Albsteiger
18,36,2,CDU/CSU,Altmaier,Peter,,0,0,0,0,1,Peter Altmaier
18,36,2,CDU/CSU,Auernhammer,Artur,,0,1,0,0,0,Artur Auernhammer
18,36,2,CDU/CSU,Bär,Dorothee,,0,0,0,0,1,Dorothee Bär
18,36,2,CDU/CSU,Bareiß,Thomas,,0,1,0,0,0,Thomas Bareiß
18,36,2,CDU/CSU,Barthle,Norbert,,0,1,0,0,0,Norbert Barthle
18,36,2,CDU/CSU,Bartz,Julia,,0,1,0,0,0,Julia Bartz
18,36,2,CDU/CSU,Baumann,Günter,,0,1,0,0,0,Günter Baumann
18,36,2,CDU/CSU,Beermann,Maik,,0,1,0,0,0,Maik Beermann
18,36,2,CDU/CSU,Behrens (Börde),Manfred,,0,1,0,0,0,Manfred Behrens (Börde)
18,36,2,CDU/CSU,Bellmann,Veronika,,0,1,0,0,0,Veronika Bellmann
18,36,2,CDU/CSU,Benning,Sybille,,0,1,0,0,0,Sybille Benning
18,36,2,CDU/CSU,Berghegger,Andre,,0,1,0,0,0,Dr. Andre Berghegger
18,36,2,CDU/CSU,Bergner,Christoph,,0,1,0,0,0,Dr. Christoph Bergner
18,36,2,CDU/CSU,Bertram,Ute,,0,1,0,0,0,Ute Bertram
18,36,2,CDU/CSU,Beyer,Peter,,0,1,0,0,0,Peter Beyer
18,36,2,CDU/CSU,Bilger,Steffen,,0,1,0,0,0,Steffen Bilger
18,36,2,CDU/CSU,Binninger,Clemens,,0,1,0,0,0,Clemens Binninger
18,36,2,CDU/CSU,Bleser,Peter,,0,1,0,0,0,Peter Bleser
18,36,2,CDU/CSU,Böhmer,Maria,,0,1,0,0,0,Dr. Maria Böhmer
18,36,2,CDU/CSU,Bosbach,Wolfgang,,0,1,0,0,0,Wolfgang Bosbach
18,36,2,CDU/CSU,Brackmann,Norbert,,0,1,0,0,0,Norbert Brackmann
18,36,2,CDU/CSU,Brähmig,Klaus,,0,1,0,0,0,Klaus Brähmig
18,36,2,CDU/CSU,Brand,Michael,,0,0,0,0,1,Michael Brand
18,36,2,CDU/CSU,Brandl,Reinhard,,0,1,0,0,0,Dr. Reinhard Brandl
18,36,2,CDU/CSU,Brandt,Helmut,,0,1,0,0,0,Helmut Brandt
18,36,2,CDU/CSU,Brauksiepe,Ralf,,0,1,0,0,0,Dr. Ralf Brauksiepe
18,36,2,CDU/CSU,Braun,Helge,,0,1,0,0,0,Dr. Helge Braun
18,36,2,CDU/CSU,Brehmer,Heike,,0,1,0,0,0,Heike Brehmer
18,36,2,CDU/CSU,Brinkhaus,Ralph,,0,1,0,0,0,Ralph Brinkhaus
18,36,2,CDU/CSU,Caesar,Cajus,,1,0,0,0,0,Cajus Caesar
18,36,2,CDU/CSU,Connemann,Gitta,,0,1,0,0,0,Gitta Connemann
18,36,2,CDU/CSU,Dinges-Dierig,Alexandra,,0,1,0,0,0,Alexandra Dinges-Dierig
18,36,2,CDU/CSU,Dobrindt,Alexander,,0,0,0,0,1,Alexander Dobrindt
18,36,2,CDU/CSU,Donth,Michael,,0,1,0,0,0,Michael Donth
18,36,2,CDU/CSU,Dörflinger,Thomas,,0,1,0,0,0,Thomas Dörflinger
18,36,2,CDU/CSU,Dött,Marie-Luise,,0,1,0,0,0,Marie-Luise Dött
18,36,2,CDU/CSU,Durz,Hansjörg,,0,1,0,0,0,Hansjörg Durz
18,36,2,CDU/CSU,Eckenbach,Jutta,,0,1,0,0,0,Jutta Eckenbach
18,36,2,CDU/CSU,Fabritius,Bernd,,0,0,0,0,1,Dr. Bernd Fabritius
18,36,2,CDU/CSU,Färber,Hermann,,0,1,0,0,0,Hermann Färber
18,36,2,CDU/CSU,Feiler,Uwe,,0,1,0,0,0,Uwe Feiler
18,36,2,CDU/CSU,Feist,Thomas,,0,1,0,0,0,Dr. Thomas Feist
18,36,2,CDU/CSU,Ferlemann,Enak,,0,1,0,0,0,Enak Ferlemann
18,36,2,CDU/CSU,Fischbach,Ingrid,,0,1,0,0,0,Ingrid Fischbach
18,36,2,CDU/CSU,Fischer (Hamburg),Dirk,,0,1,0,0,0,Dirk Fischer (Hamburg)
18,36,2,CDU/CSU,Fischer (Karlsruhe-Land),Axel E.,,0,1,0,0,0,Axel E. Fischer (Karlsruhe-Land)
18,36,2,CDU/CSU,Flachsbarth,Maria,,0,1,0,0,0,Dr. Maria Flachsbarth
18,36,2,CDU/CSU,Flosbach,Klaus-Peter,,0,1,0,0,0,Klaus-Peter Flosbach
18,36,2,CDU/CSU,Frei,Thorsten,,0,1,0,0,0,Thorsten Frei
18,36,2,CDU/CSU,Freudenstein,Astrid,,0,1,0,0,0,Dr. Astrid Freudenstein
18,36,2,CDU/CSU,Friedrich (Hof),Hans-Peter,,0,1,0,0,0,Dr. Hans-Peter Friedrich (Hof)
18,36,2,CDU/CSU,Frieser,Michael,,0,1,0,0,0,Michael Frieser
18,36,2,CDU/CSU,Fuchs,Michael,,0,1,0,0,0,Dr. Michael Fuchs
18,36,2,CDU/CSU,Fuchtel,Hans-Joachim,,0,1,0,0,0,Hans-Joachim Fuchtel
18,36,2,CDU/CSU,Funk,Alexander,,0,1,0,0,0,Alexander Funk
18,36,2,CDU/CSU,Gädechens,Ingo,,0,1,0,0,0,Ingo Gädechens
18,36,2,CDU/CSU,Gauweiler,Peter,,0,1,0,0,0,Dr. Peter Gauweiler
18,36,2,CDU/CSU,Gebhart,Thomas,,0,1,0,0,0,Dr. Thomas Gebhart
18,36,2,CDU/CSU,Gerig,Alois,,0,1,0,0,0,Alois Gerig
18,36,2,CDU/CSU,Gienger,Eberhard,,0,1,0,0,0,Eberhard Gienger
18,36,2,CDU/CSU,Giousouf,Cemile,,0,1,0,0,0,Cemile Giousouf
18,36,2,CDU/CSU,Göppel,Josef,,0,1,0,0,0,Josef Göppel
18,36,2,CDU/CSU,Grindel,Reinhard,,0,1,0,0,0,Reinhard Grindel
18,36,2,CDU/CSU,Groden-Kranich,Ursula,,0,1,0,0,0,Ursula Groden-Kranich
18,36,2,CDU/CSU,Gröhe,Hermann,,0,1,0,0,0,Hermann Gröhe
18,36,2,CDU/CSU,Gröhler,Klaus-Dieter,,0,1,0,0,0,Klaus-Dieter Gröhler
18,36,2,CDU/CSU,Grosse-Brömer,Michael,,0,1,0,0,0,Michael Grosse-Brömer
18,36,2,CDU/CSU,Grotelüschen,Astrid,,0,1,0,0,0,Astrid Grotelüschen
18,36,2,CDU/CSU,Grübel,Markus,,0,1,0,0,0,Markus Grübel
18,36,2,CDU/CSU,Grund,Manfred,,0,1,0,0,0,Manfred Grund
18,36,2,CDU/CSU,Grundmann,Oliver,,0,1,0,0,0,Oliver Grundmann
18,36,2,CDU/CSU,Grütters,Monika,,0,1,0,0,0,Monika Grütters
18,36,2,CDU/CSU,Gundelach,Herlind,,0,1,0,0,0,Dr. Herlind Gundelach
18,36,2,CDU/CSU,Güntzler,Fritz,,0,1,0,0,0,Fritz Güntzler
18,36,2,CDU/CSU,Gutting,Olav,,0,1,0,0,0,Olav Gutting
18,36,2,CDU/CSU,Haase,Christian,,0,1,0,0,0,Christian Haase
18,36,2,CDU/CSU,Hahn,Florian,,0,1,0,0,0,Florian Hahn
18,36,2,CDU/CSU,Harbarth,Stephan,,0,1,0,0,0,Dr. Stephan Harbarth
18,36,2,CDU/CSU,Hardt,Jürgen,,0,1,0,0,0,Jürgen Hardt
18,36,2,CDU/CSU,Hasselfeldt,Gerda,,0,1,0,0,0,Gerda Hasselfeldt
18,36,2,CDU/CSU,Hauer,Matthias,,0,1,0,0,0,Matthias Hauer
18,36,2,CDU/CSU,Hauptmann,Mark,,0,1,0,0,0,Mark Hauptmann
18,36,2,CDU/CSU,Heck,Stefan,,0,1,0,0,0,Dr. Stefan Heck
18,36,2,CDU/CSU,Heider,Matthias,,0,1,0,0,0,Dr. Matthias Heider
18,36,2,CDU/CSU,Heiderich,Helmut,,0,1,0,0,0,Helmut Heiderich
18,36,2,CDU/CSU,Heil,Mechthild,,0,1,0,0,0,Mechthild Heil
18,36,2,CDU/CSU,Heinrich (Chemnitz),Frank,,0,1,0,0,0,Frank Heinrich (Chemnitz)
18,36,2,CDU/CSU,Helfrich,Mark,,0,1,0,0,0,Mark Helfrich
18,36,2,CDU/CSU,Heller,Uda,,0,1,0,0,0,Uda Heller
18,36,2,CDU/CSU,Hellmuth,Jörg,,0,1,0,0,0,Jörg Hellmuth
18,36,2,CDU/CSU,Henke,Rudolf,,0,0,0,0,1,Rudolf Henke
18,36,2,CDU/CSU,Hennrich,Michael,,0,0,0,0,1,Michael Hennrich
18,36,2,CDU/CSU,Heveling,Ansgar,,0,1,0,0,0,Ansgar Heveling
18,36,2,CDU/CSU,Hintze,Peter,,0,1,0,0,0,Peter Hintze
18,36,2,CDU/CSU,Hirte,Christian,,0,1,0,0,0,Christian Hirte
18,36,2,CDU/CSU,Hirte,Heribert,,0,1,0,0,0,Dr. Heribert Hirte
18,36,2,CDU/CSU,Hochbaum,Robert,,0,1,0,0,0,Robert Hochbaum
18,36,2,CDU/CSU,Hoffmann,Alexander,,0,1,0,0,0,Alexander Hoffmann
18,36,2,CDU/CSU,Holmeier,Karl,,0,1,0,0,0,Karl Holmeier
18,36,2,CDU/CSU,Holzenkamp,Franz-Josef,,0,1,0,0,0,Franz-Josef Holzenkamp
18,36,2,CDU/CSU,Hoppenstedt,Hendrik,,0,1,0,0,0,Dr. Hendrik Hoppenstedt
18,36,2,CDU/CSU,Horb,Margaret,,0,1,0,0,0,Margaret Horb
18,36,2,CDU/CSU,Hornhues,Bettina,,0,1,0,0,0,Bettina Hornhues
18,36,2,CDU/CSU,Huber,Charles M.,,0,1,0,0,0,Charles M. Huber
18,36,2,CDU/CSU,Hübinger,Anette,,0,1,0,0,0,Anette Hübinger
18,36,2,CDU/CSU,Hüppe,Hubert,,0,0,0,0,1,Hubert Hüppe
18,36,2,CDU/CSU,Irlstorfer,Erich,,0,1,0,0,0,Erich Irlstorfer
18,36,2,CDU/CSU,Jarzombek,Thomas,,0,1,0,0,0,Thomas Jarzombek
18,36,2,CDU/CSU,Jörrißen,Sylvia,,0,1,0,0,0,Sylvia Jörrißen
18,36,2,CDU/CSU,Jung,Andreas,,0,1,0,0,0,Andreas Jung
18,36,2,CDU/CSU,Jung,Franz Josef,,0,1,0,0,0,Dr. Franz Josef Jung
18,36,2,CDU/CSU,Jung,Xaver,,0,1,0,0,0,Xaver Jung
18,36,2,CDU/CSU,Jüttner,Egon,,0,1,0,0,0,Dr. Egon Jüttner
18,36,2,CDU/CSU,Kalb,Bartholomäus,,0,1,0,0,0,Bartholomäus Kalb
18,36,2,CDU/CSU,Kammer,Hans-Werner,,0,1,0,0,0,Hans-Werner Kammer
18,36,2,CDU/CSU,Kampeter,Steffen,,0,0,0,0,1,Steffen Kampeter
18,36,2,CDU/CSU,Kanitz,Steffen,,0,0,0,0,1,Steffen Kanitz
18,36,2,CDU/CSU,Karl,Alois,,0,1,0,0,0,Alois Karl
18,36,2,CDU/CSU,Karliczek,Anja,,0,1,0,0,0,Anja Karliczek
18,36,2,CDU/CSU,Kaster,Bernhard,,0,1,0,0,0,Bernhard Kaster
18,36,2,CDU/CSU,Kauder,Volker,,0,1,0,0,0,Volker Kauder
18,36,2,CDU/CSU,Kaufmann,Stefan,,0,0,1,0,0,Dr. Stefan Kaufmann
18,36,2,CDU/CSU,Kiesewetter,Roderich,,0,1,0,0,0,Roderich Kiesewetter
18,36,2,CDU/CSU,Kippels,Georg,,0,1,0,0,0,Dr. Georg Kippels
